ChemicalId,Kg,RealKg,ScalerId,StartScale,EndScale
58,1500.00,1450.00,1053,2021-11-21 02:58:17.250,2021-11-21 07:28:55.850
58,1020.00,1000.00,1052,2021-11-22 20:18:57.243,2021-11-22 20:19:04.950
153,2040.00,2000.00,1052,2021-11-22 20:19:11.707,2021-11-22 20:19:17.597
223,2040.00,1990.00,1052,2021-11-22 20:19:21.333,2021-11-22 20:20:11.037
147,1500.00,1450.00,1052,2021-11-22 20:20:25.743,2021-11-22 20:20:30.890
153,2040.00,2000.00,1052,2021-12-04 21:16:52.410,2021-12-04 21:16:57.810
58,999.00,950.00,1052,2021-12-04 21:17:02.373,2021-12-04 21:17:11.253
71,2040.00,2000.00,1052,2021-12-04 21:17:19.507,2021-12-04 21:17:25.470
147,999.00,950.00,1052,2021-12-04 21:17:30.280,2021-12-04 21:17:34.153
58,1500.00,1450.00,1053,2021-12-09 18:56:19.533,2021-12-09 18:56:30.580
153,2040.00,2000.00,1053,2021-12-09 18:56:41.713,2021-12-09 18:56:47.003
147,1500.00,1500.00,1053,2021-12-09 18:56:53.690,2021-12-09 18:59:10.043
153,2040.00,2000.00,1052,2021-12-10 07:37:01.210,2021-12-10 07:37:06.650
58,999.00,950.00,1052,2021-12-10 07:37:13.730,2021-12-10 07:37:22.237
147,1500.00,1450.00,1052,2021-12-10 07:37:27.560,2021-12-10 07:37:32.497
58,1020.00,1050.00,1053,2021-12-17 11:49:44.013,2021-12-17 11:49:56.087
153,2040.00,2050.00,1053,2021-12-17 11:50:01.170,2021-12-17 11:50:06.467
223,2040.00,2010.00,1053,2021-12-17 11:50:24.810,2021-12-17 11:50:30.730
147,1500.00,1450.00,1053,2021-12-17 11:50:38.340,2021-12-17 11:51:23.880
58,1020.00,1050.00,1052,2021-12-26 14:39:25.410,2021-12-26 14:39:50.610
51,12000.00,11950.00,1052,2021-12-26 17:46:27.870,2021-12-26 17:47:02.000
52,2100.00,2050.00,1052,2021-12-26 17:47:05.390,2021-12-26 17:47:13.253
52,2040.00,2000.00,1053,2021-12-26 22:58:51.923,2021-12-26 22:58:59.540
64,3000.00,2960.00,1053,2021-12-26 22:59:01.150,2021-12-26 22:59:09.520
52,4080.00,4050.00,1053,2021-12-27 20:33:18.333,2021-12-27 20:33:31.727
64,9000.00,8990.00,1053,2021-12-27 20:33:37.693,2021-12-27 20:33:59.870
51,21000.00,20960.00,1053,2021-12-28 18:43:10.403,2021-12-28 18:43:31.183
190,2250.00,2250.00,1053,2021-12-28 18:43:41.290,2021-12-28 18:43:48.093
191,1140.00,1100.00,1053,2021-12-28 18:43:54.860,2021-12-28 18:44:00.490
201,2250.00,2200.00,1053,2021-12-28 18:44:08.333,2021-12-28 18:44:27.563
147,1500.00,1450.00,1053,2021-12-28 18:44:37.290,2021-12-28 18:44:42.380
52,2040.00,2000.00,1053,2021-12-28 19:52:41.283,2021-12-28 19:52:48.880
58,1020.00,1000.00,1053,2021-12-29 02:02:43.413,2021-12-29 02:02:51.900
51,12000.00,11950.00,1053,2021-12-29 06:16:40.473,2021-12-29 06:17:10.677
52,2100.00,2050.00,1053,2021-12-29 06:17:13.933,2021-12-29 06:17:21.790
52,2100.00,2050.00,1053,2021-12-29 13:04:25.313,2021-12-29 13:04:33.040
64,3000.00,2980.00,1053,2021-12-29 13:04:44.527,2021-12-29 13:04:52.610
52,3000.00,2950.00,1053,2021-12-29 10:22:23.907,2021-12-29 10:22:34.387
58,2010.00,2000.00,1052,2021-12-30 14:08:38.337,2021-12-30 14:08:55.210
153,2010.00,2000.00,1052,2021-12-30 14:09:01.623,2021-12-30 14:09:06.830
71,999.00,950.00,1052,2021-12-30 14:09:13.450,2021-12-30 14:09:18.113
147,999.00,1000.00,1052,2021-12-30 14:09:22.763,2021-12-30 14:09:39.090
51,12000.00,11970.00,1052,2021-12-30 17:29:06.253,2021-12-30 17:29:35.850
